ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity
9781449365516,Functional Thinking,Paradigm Over Syntax,Neal Ford,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=nObtAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Design Pattern Programming,2014,en,SE15,1
9780596809485,97 Things Every Programmer Should Know,Collective Wisdom from the Experts,Kevlin Henney,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=sS7aPtrUuw4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Programming,2010,en,SE16,2
9781447166382,Writing for Computer Science,,Justin Zobel,Springer Science & Business Media,"https://images-na.ssl-images-amazon.com/images/I/41xyrFw0ZZL._SX331_BO1,204,203,200_.jpg",SE,Writing,2014,en,SE17,1
9781449361327,Data Science for Business,What you need to know about data mining and data-analytic thinking,Foster Provost,"O'Reilly Media, Inc.",https://m.media-amazon.com/images/I/71ME9bXPKQL._AC_UY436_FMwebp_QL65_.jpg,SE,Data Science,2013,en,SE18,1
9780321884497,Database Design for Mere Mortals,A Hands-On Guide to Relational Database Design,Michael J. Hernandez,Addison-Wesley,http://books.google.com/books/content?id=MVApxsrcHiAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Databases,2013,en,SE19,1
9780321992475,SQL Queries for Mere Mortals,A Hands-On Guide to Data Manipulation in SQL,"John L. Viescas, Michael J. Hernandez",Addison-Wesley Professional,http://books.google.com/books/content?id=EtrHAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Databases,2014,en,SE20,1
9780596520830,Learning SQL,Master SQL Fundamentals,Alan Beaulieu,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=1PgCCVryjOQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Databases,2009,en,SE21,1
9781934356555,SQL Antipatterns,Avoiding the Pitfalls of Database Programming,Bill Karwin,Pragmatic Bookshelf,http://books.google.com/books/content?id=Ghr4RAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,Databases,2010,en,SE22,1
9781621140306,Data Access for Highly-Scalable Solutions,"Using SQL, NoSQL, and Polyglot Persistence","Douglas McMurtry, Andrew Oakley, John Sharp, Mani Subramanian, Hanzhong Zhang",Microsoft patterns & practices,https://m.media-amazon.com/images/I/51Jd9evk8EL._AC_UL872_FMwebp_QL65_.jpg,SE,Databases,2013,en,SE23,1
9781617290855,Redis in Action,,Josiah L. Carlson,Manning Publications Company,https://m.media-amazon.com/images/I/41Hdh0BzKsL._AC_UY436_FMwebp_QL65_.jpg,SE,Key Value DB,2013,en,SE24,1
9781617290343,Big Data,Principles and Best Practices of Scalable Realtime Data Systems,"Nathan Marz, James Warren",Manning Publications Company,http://books.google.com/books/content?id=HW-kMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,Databases,2015,en,SE25,1
9781491901632,Hadoop: The Definitive Guide,,Tom White,"O'Reilly Media, Inc.",http://books.google.com/books/content?id=drbI_aro20oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Databases,2015,en,SE26,1
9781449358624,Learning Spark,Lightning-Fast Big Data Analysis,"Holden Karau, Andy Konwinski, Patrick Wendell, Matei Zaharia","O'Reilly Media, Inc.",http://books.google.com/books/content?id=tOptBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Programming Languages,2015,en,SE27,1
9781491972953,Advanced Analytics with Spark,Patterns for Learning from Data at Scale,"Sandy Ryza, Uri Laserson, Sean Owen, Josh Wills","O'Reilly Media, Inc.",http://books.google.com/books/content?id=uJonDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,SE,Programming Languages,2017,en,SE28,1
9781292024479,Database Systems,The Complete Book,"Hector Garcia-Molina, Jeffrey D Ullman, Jennifer Widom",Pearson Higher Ed,http://books.google.com/books/content?id=3LipBwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,SE,Databases,2014,en,SE29,1
